p_column,threshold,pfa,pd
p_0.01,0.9277316459567948,1.0,1.0
p_0.01,0.9277337880476378,1.0,1.0
p_0.01,0.9277359301384809,1.0,1.0
p_0.01,0.9277380722293239,1.0,1.0
p_0.01,0.9277402143201671,1.0,1.0
p_0.01,0.9277423564110101,1.0,1.0
p_0.01,0.9277444985018531,1.0,1.0
p_0.01,0.9277466405926963,1.0,1.0
p_0.01,0.9277487826835393,1.0,1.0
p_0.01,0.9277509247743824,1.0,1.0
p_0.01,0.9277530668652255,1.0,1.0
p_0.01,0.9277552089560686,1.0,1.0
p_0.01,0.9277573510469116,1.0,1.0
p_0.01,0.9277594931377546,1.0,1.0
p_0.01,0.9277616352285978,1.0,1.0
p_0.01,0.9277637773194408,1.0,1.0
p_0.01,0.9277659194102839,1.0,1.0
p_0.01,0.927768061501127,1.0,1.0
p_0.01,0.92777020359197,1.0,1.0
p_0.01,0.9277723456828131,1.0,1.0
p_0.01,0.9277744877736562,1.0,1.0
p_0.01,0.9277766298644993,1.0,1.0
p_0.01,0.9277787719553423,1.0,1.0
p_0.01,0.9277809140461853,1.0,1.0
p_0.01,0.9277830561370285,1.0,1.0
p_0.01,0.9277851982278715,1.0,1.0
p_0.01,0.9277873403187146,1.0,1.0
p_0.01,0.9277894824095577,1.0,1.0
p_0.01,0.9277916245004008,1.0,1.0
p_0.01,0.9277937665912438,1.0,1.0
p_0.01,0.927795908682087,1.0,1.0
p_0.01,0.92779805077293,1.0,1.0
p_0.01,0.927800192863773,1.0,1.0
p_0.01,0.9278023349546161,1.0,1.0
p_0.01,0.9278044770454592,1.0,1.0
p_0.01,0.9278066191363022,1.0,1.0
p_0.01,0.9278087612271453,1.0,1.0
p_0.01,0.9278109033179884,1.0,1.0
p_0.01,0.9278130454088315,1.0,1.0
p_0.01,0.9278151874996745,1.0,1.0
p_0.01,0.9278173295905177,1.0,1.0
p_0.01,0.9278194716813607,1.0,1.0
p_0.01,0.9278216137722037,1.0,1.0
p_0.01,0.9278237558630469,1.0,1.0
p_0.01,0.9278258979538899,1.0,1.0
p_0.01,0.927828040044733,1.0,1.0
p_0.01,0.927830182135576,1.0,1.0
p_0.01,0.9278323242264191,1.0,1.0
p_0.01,0.9278344663172622,1.0,1.0
p_0.01,0.9278366084081052,1.0,1.0
p_0.01,0.9278387504989484,1.0,1.0
p_0.01,0.9278408925897914,1.0,1.0
p_0.01,0.9278430346806344,1.0,1.0
p_0.01,0.9278451767714776,1.0,1.0
p_0.01,0.9278473188623206,1.0,1.0
p_0.01,0.9278494609531637,1.0,1.0
p_0.01,0.9278516030440067,1.0,1.0
p_0.01,0.9278537451348499,1.0,1.0
p_0.01,0.9278558872256929,1.0,1.0
p_0.01,0.9278580293165359,1.0,1.0
p_0.01,0.9278601714073791,1.0,1.0
p_0.01,0.9278623134982221,1.0,1.0
p_0.01,0.9278644555890652,1.0,1.0
p_0.01,0.9278665976799083,1.0,1.0
p_0.01,0.9278687397707513,1.0,1.0
p_0.01,0.9278708818615944,1.0,1.0
